run_id,batch_id,workload_type,workload_name,workload_complexity,cpu_cores,memory_total_gb,cpu_avg_pct,effective_cpu,memory_avg_gb,memory_pressure,disk_read_mb,disk_write_mb,io_intensity,disk_type,disk_speed_class,runtime_sec
0,batch_1,ML,ml_resnet,5,2,4,95.0,1.9,2.02,0.505,43.57,135.91,179.48,NVMe,3,179.06
1,batch_1,ML,ml_resnet,5,2,4,95.0,1.9,2.48,0.62,26.85,47.17,74.02,NVMe,3,176.76
2,batch_1,ML,ml_resnet,5,2,4,95.0,1.9,2.92,0.73,116.49,86.37,202.86,NVMe,3,152.71
3,batch_1,ML,ml_resnet,5,2,4,95.0,1.9,1.81,0.453,205.34,128.68,334.02,SSD,2,190.32
4,batch_1,ML,ml_resnet,5,2,4,95.0,1.9,1.96,0.49,107.38,71.03,178.41,SSD,2,199.42
5,batch_1,ML,ml_resnet,5,2,4,95.0,1.9,3.09,0.772,187.84,101.16,289.0,SSD,2,210.78
6,batch_1,ML,ml_resnet,5,2,8,95.0,1.9,6.43,0.804,103.18,42.69,145.87,SSD,2,181.24
7,batch_1,ML,ml_resnet,5,2,8,95.0,1.9,4.33,0.541,86.56,23.56,110.12,HDD,1,225.49
8,batch_1,ML,ml_resnet,5,2,8,95.0,1.9,6.27,0.784,57.41,70.4,127.81,HDD,1,229.45
9,batch_1,ML,ml_resnet,5,2,8,95.0,1.9,6.6,0.825,169.05,113.55,282.6,NVMe,3,133.87
10,batch_1,ML,ml_resnet,5,2,8,95.0,1.9,4.46,0.557,232.84,126.99,359.83,HDD,1,208.17
11,batch_1,ML,ml_resnet,5,2,8,95.0,1.9,6.3,0.787,198.48,48.94,247.42,HDD,1,216.96
12,batch_1,ML,ml_resnet,5,2,16,95.0,1.9,13.04,0.815,150.45,132.05,282.5,HDD,1,196.6
13,batch_1,ML,ml_resnet,5,2,16,95.0,1.9,9.73,0.608,230.35,88.0,318.35,HDD,1,179.18
14,batch_1,ML,ml_resnet,5,2,16,95.0,1.9,11.98,0.749,118.54,109.2,227.74,SSD,2,162.0
15,batch_1,ML,ml_resnet,5,2,16,95.0,1.9,13.58,0.849,137.19,25.45,162.64,SSD,2,164.27
16,batch_1,ML,ml_resnet,5,2,16,95.0,1.9,11.56,0.723,157.17,75.41,232.58,HDD,1,196.96
17,batch_1,ML,ml_resnet,5,2,16,95.0,1.9,10.59,0.662,243.35,156.33,399.68,NVMe,3,119.61
18,batch_1,ML,ml_resnet,5,2,32,95.0,1.9,24.01,0.75,196.78,67.83,264.61,HDD,1,180.17
19,batch_1,ML,ml_resnet,5,2,32,95.0,1.9,20.21,0.632,239.38,158.89,398.27,SSD,2,139.17
20,batch_1,ML,ml_resnet,5,2,32,95.0,1.9,15.76,0.492,163.82,153.08,316.9,SSD,2,160.44
21,batch_1,ML,ml_resnet,5,2,32,93.63,1.87,16.36,0.511,195.38,101.69,297.07,NVMe,3,115.09
22,batch_1,ML,ml_resnet,5,2,32,95.0,1.9,15.83,0.495,103.49,177.5,280.99,NVMe,3,127.24
23,batch_1,ML,ml_resnet,5,2,32,95.0,1.9,17.48,0.546,150.49,23.39,173.88,SSD,2,137.0
24,batch_1,ML,ml_resnet,5,2,64,94.83,1.9,48.41,0.756,49.53,90.8,140.33,NVMe,3,114.44
25,batch_1,ML,ml_resnet,5,2,64,90.56,1.81,42.31,0.661,159.52,173.94,333.46,NVMe,3,117.82
26,batch_1,ML,ml_resnet,5,2,64,95.0,1.9,39.01,0.61,174.49,73.48,247.97,NVMe,3,117.96
27,batch_1,ML,ml_resnet,5,2,64,86.99,1.74,35.15,0.549,34.73,13.58,48.31,NVMe,3,104.96
28,batch_1,ML,ml_resnet,5,2,64,89.84,1.8,44.96,0.703,72.66,163.92,236.58,NVMe,3,118.27
29,batch_1,ML,ml_resnet,5,2,64,95.0,1.9,34.89,0.545,173.86,46.42,220.28,SSD,2,150.7
30,batch_1,ML,ml_resnet,5,4,4,95.0,3.8,2.19,0.547,128.78,79.2,207.98,HDD,1,170.52
31,batch_1,ML,ml_resnet,5,4,4,95.0,3.8,2.49,0.623,117.42,89.39,206.81,HDD,1,149.78
